case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
3	ON022502.1	836	1310	A.1	N/A	N/A	1-1226,1243-1310	1226-1243	A.1.NmC2 + A.1.NmC1	>>	N/A	1236-1237	N/A	3.73e-190	1.07e-84	[], []
3	ON022482.1	836	1315	A.1	N/A	N/A	1-1231,1248-1315	1231-1248	A.1.NmC2 + A.1.NmC1	>>	N/A	1241-1242	N/A	3.73e-190	1.13e-82	[], []
3	ON022499.1	836	1229	A.1	N/A	N/A	1-1145,1162-1229	1145-1162	A.1.NmC2 + A.1.NmC1	>>	N/A	1155-1156	N/A	3.71e-190	4.76e-81	[], []
3	ON022511.1	836	1137	A.1	N/A	N/A	1-909,1041-1137	909-1041	A.1.NmC2 + A.1.NmC1	>>	N/A	1040-1041	N/A	9.24e-191	6.35e-71	[], []
3	ON022433.1	836	1316	A.1	N/A	N/A	1-1148,1249-1316	1148-1249	A.1.NmC2 + A.1.NmC1	>>	N/A	1248-1249	N/A	3.12e-191	2.51e-85	[], []
3	ON022316.1	836	1082	A.1	N/A	N/A	1-923,941-1082	923-941	A.1.NmC2 + A.1.NmC1	>>	N/A	939-940	N/A	5.11e-186	1.06e-23	[], []
3	ON022449.1	836	1413	A.1	N/A	N/A	1-1346,1348-1413	1346-1348	A.1.NmC2 + A.1.NmC1	>>	N/A	1346-1347	N/A	2.04e-191	8.68e-97	[], []
3	ON022593.1	836	1426	A.1	N/A	N/A	1-1413,1415-1426	1413-1415	A.1.NmC2 + A.1.NmC1	>>	N/A	1414-1415	N/A	5.71e-194	1.94e-41	[], []
3	ON022312.1	836	1427	A.1	N/A	N/A	1-1414,1416-1427	1414-1416	A.1.NmC2 + A.1.NmC1	>>	N/A	1415-1416	N/A	5.71e-194	1.77e-41	[], []
3	ON022465.1	836	1351	A.1	N/A	N/A	1-1345,1347-1351	1345-1347	A.1.NmC2 + A.1.NmC1	>>	N/A	1345-1346	N/A	4.02e-194	1.39e-76	[], []
3	ON022394.1	836	1372	A.1	N/A	N/A	1-1338,1341-1372	1338-1341	A.1.NmC2 + A.1.NmC1	>>	N/A	1340-1341	N/A	7.23e-193	1.73e-66	[], []
3	ON022291.1	836	1425	A.1	N/A	N/A	1-1323,1328-1425	1323-1328	A.1.NmC2 + A.1.NmC1	>>	N/A	1324-1325	N/A	1.12e-211	1.77e-15	[], []
3	ON022293.1	836	1426	A.1	N/A	N/A	1-1324,1329-1426	1324-1329	A.1.NmC2 + A.1.NmC1	>>	N/A	1325-1326	N/A	1.12e-211	4.47e-22	[], []
3	ON022294.1	836	1425	A.1	N/A	N/A	1-1323,1328-1425	1323-1328	A.1.NmC2 + A.1.NmC1	>>	N/A	1324-1325	N/A	1.12e-211	1.33e-15	[], []
3	ON022733.1	836	1104	A.1	N/A	N/A	1-905,986-1104	905-986	A.1.NmC2 + A.1.NmC1	>>	N/A	985-986	N/A	5.28e-193	2.78e-55	[], []
3	ON022286.1	836	1429	A.1	N/A	N/A	1-1405,1406-1429		A.1.NmC2 + A.1.NmC1	>>	N/A	1405-1406	N/A	8.35e-200	1.31e-47	[], []
3	ON022304.1	836	1426	A.1	N/A	N/A	1-1324,1329-1426	1324-1329	A.1.NmC2 + A.1.NmC1	>>	N/A	1325-1326	N/A	1.12e-211	3.51e-22	[], []
3	ON022283.1	836	1425	A.1	N/A	N/A	1-1323,1326-1425	1323-1326	A.1.NmC2 + A.1.NmC1	>>	N/A	1324-1325	N/A	8.24e-193	8.34e-16	[], []
3	ON022549.1	836	976	A.1	N/A	N/A	1-392,463-976	392-463	A.1.NmC2 + A.1.NmC1	>>	N/A	392-393	N/A	7.05e-206	2.71e-18	[], []
3	OP508595.1	836	726	A.1	N/A	N/A	1-395,521-550,551-726	395-551 -> 395-521	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	395-396, 550-551	N/A	4.13e-26	2.87e-41	[], []
3	OP508603.1	836	640	A.1	N/A	N/A	1-283,284-328,452-640	283-452 -> 328-452	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	283-284, 451-452	N/A	1.77e-38	7.14e-31	[], []
3	JF912179.1	836	1448	A.1	N/A	N/A	1-18,1425-1434,1435-1448	18-1435 -> 18-1425	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	18-19, 1434-1435	N/A	0.00e+00	2.82e-05	[], []
3	JF912181.1	836	1485	A.1	N/A	N/A	1-1440,1441-1447,1482-1485	1440-1482 -> 1447-1482	A.1 + A.1.NmC2 + A.1	>>	N/A	1440-1441, 1448-1449	N/A	4.32e+01	0.00e+00	[], []
3	JF912183.1	836	1453	A.1	N/A	N/A	1-11,1440-1453	11-1440	A.1.NmC2 + A.1	>>	N/A	11-12	N/A	0.00e+00	2.39e-05	[], []
3	JF912184.1	836	1441	A.1	N/A	N/A	1-18,1428-1437,1438-1441	18-1438 -> 18-1428	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	18-19, 1437-1438	N/A	0.00e+00	9.24e-11	[], []
3	JF912186.1	836	1445	A.1	N/A	N/A	1-3,1432-1441,1442-1445	3-1442 -> 3-1432	A.1.NmC2 + A.1 + A.1.NmC2	<<	N/A	18-19, 1441-1442	N/A	0.00e+00	2.09e-03	[], []
3	MF004382.1	836	1483	A.1	N/A	N/A	1-1460,1481-1483	1460-1481	A.1 + A.1	>>	N/A	1460-1461	N/A	2.72e+00	2.72e+00	[], []
3	MH018100.1	836	1407	A.1	N/A	N/A	1-1383,1402-1407	1383-1402	A.1.NmC2 + A.1	>>	N/A	1383-1384	N/A	2.05e-97	1.44e-141	[], []
3	MH018101.1	836	1412	A.1	N/A	N/A	1-1388,1407-1412	1388-1407	A.1.NmC2 + A.1	>>	N/A	1388-1389	N/A	2.05e-97	9.60e-140	[], []
3	MW158338.1	836	1421	A.1	N/A	N/A	1-735,736-1378,1390-1421	735-1390 -> 1378-1390	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	735-736, 1387-1388	N/A	5.37e-68	1.02e+19	[], []
3	MW158343.1	836	1464	A.1	N/A	N/A	1-357,358-363,1439-1464	357-1439 -> 363-1439	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	357-358, 1438-1439	N/A	2.48e-143	4.17e-09	[], []
3	MW158345.1	836	1464	A.1	N/A	N/A	1-1427,1428-1443,1444-1464	1427-1444 -> 	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	1427-1428, 1443-1444	N/A	5.46e-142	9.14e-96	[], []
3	MW158346.1	836	1460	A.1	N/A	N/A	1-1425,1426-1441,1442-1460	1425-1442 -> 	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	1425-1426, 1441-1442	N/A	5.46e-142	1.15e-104	[], []
3	MW158359.1	836	1480	A.1	N/A	N/A	1-1437,1478-1480	1437-1478	A.1 + A.1	>>	N/A	1442-1443	N/A	2.72e+00	2.72e+00	[], []
3	MW158361.1	836	1490	A.1	N/A	N/A	1-1445,1485-1490	1445-1485	A.1 + A.1.NmC2	>>	N/A	1476-1477	N/A	5.51e+13	0.00e+00	[], []
3	ON022716.1	836	1409	A.1	N/A	N/A	1-1214,1344-1409	1214-1344	A.1.NmC2 + A.1.NmC1	>>	N/A	1342-1343	N/A	3.77e-183	0.00e+00	[], []
3	PQ181571.1	836	1481	A.1	N/A	N/A	1-1433,1478-1481	1433-1478	A.1 + A.1	>>	N/A	1438-1439	N/A	2.72e+00	2.72e+00	[], []
3	PQ441955.1	836	1437	A.1	N/A	N/A	1-9,1412-1437	9-1412	A.1.NmC2 + A.1	<<	N/A	11-12	N/A	0.00e+00	7.58e-02	[], []
3	OP508607.1	836	612	A.1	N/A	N/A	1-230,231-612		A.1 + A.1.NmC1	<<	N/A	230-231	N/A	6.49e-31	6.89e-33	[], []
3	OP508611.1	836	555	A.1	N/A	N/A	1-106,107-242,243-555	106-243 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	106-107, 242-243	N/A	8.10e-49	7.45e-32	[], []
3	OP508620.1	836	785	A.1	N/A	N/A	1-652,671-688,689-785	652-689 -> 652-671	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	652-653, 688-689	N/A	2.02e-17	3.72e-21	[], []
3	OP508621.1	836	737	A.1	N/A	N/A	1-150,151-185,423-737	150-423 -> 185-423	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	150-151, 422-423	N/A	1.33e-25	6.40e-22	[], []
3	OP508634.1	836	638	A.1	N/A	N/A	1-312,313-480,481-638	312-481 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	312-313, 480-481	N/A	4.68e-34	9.49e-33	[], []
3	OP508637.1	836	751	A.1	N/A	N/A	1-407,576-613,614-751	407-614 -> 407-576	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	558-559, 613-614	N/A	1.26e-18	1.07e-26	[], []
3	OP508639.1	836	474	A.1	N/A	N/A	1-316,317-474		A.1 + A.1.NmC1	<<	N/A	316-317	N/A	2.27e-13	1.54e-52	[], []
3	OP508641.1	836	697	A.1	N/A	N/A	1-303,427-463,464-697	303-464 -> 303-427	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	303-304, 463-464	N/A	7.39e-23	2.61e-27	[], []
3	OP508571.1	836	1270	A.1	N/A	N/A	1-1102,1238-1270	1102-1238	A.1.NmC2 + A.1.NmC1	>>	N/A	1235-1236	N/A	3.89e-183	0.00e+00	[], []
3	OP508653.1	836	652	A.1	N/A	N/A	1-36,37-83,535-652	36-535 -> 83-535	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	<<	N/A	36-37, 83-84	N/A	2.96e-08	5.30e-247	[], []
3	OP508655.1	836	809	A.1	N/A	N/A	1-55,56-143,144-809	55-144 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	55-56, 143-144	N/A	5.48e-10	4.92e-32	[], []
3	OP508701.1	836	868	A.1	N/A	N/A	1-378,452-514,515-868	378-515 -> 378-452	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	451-452, 514-515	N/A	2.45e-29	2.06e-25	[], []
3	OP508707.1	836	936	A.1	N/A	N/A	1-468,739-936	468-739	A.1.NmC1 + A.1.NmC1	>>	N/A	589-590	N/A	2.72e+00	2.72e+00	[], []
3	OP508697.1	836	796	A.1	N/A	N/A	1-332,447-596,597-796	332-597 -> 332-447	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	446-447, 596-597	N/A	1.02e-34	5.54e-24	[], []
3	OP508672.1	836	890	A.1	N/A	N/A	1-83,84-146,147-890	83-147 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	83-84, 146-147	N/A	1.90e-12	1.33e-46	[], []
3	OP508670.1	836	655	A.1	N/A	N/A	1-114,262-655	114-262	A.1 + A.1.NmC1	<<	N/A	129-130	N/A	6.43e-10	6.46e-16	[], []
3	OP508674.1	836	692	A.1	N/A	N/A	1-234,365-393,394-692	234-394 -> 234-365	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	234-235, 393-394	N/A	5.45e-37	1.07e-25	[], []
3	OP508673.1	836	624	A.1	N/A	N/A	1-55,391-554,555-624	55-555 -> 55-391	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	55-56, 554-555	N/A	2.45e-39	4.65e-12	[], []
3	OP508579.1	836	997	A.1	N/A	N/A	1-564,968-997	564-968	A.1.NmC2 + A.1.NmC1	>>	N/A	960-961	N/A	6.24e-186	1.60e-258	[], []
3	PQ276811.1	836	1036	A.1	N/A	N/A	1-537,987-1036	537-987	A.1.NmC2 + A.1.NmC1	>>	N/A	982-983	N/A	3.48e-177	2.42e-322	[], []
3	PV710608.1	836	758	A.1	N/A	N/A	1-232,727-758	232-727	A.1.NmC2 + A.1.NmC1	>>	N/A	724-725	N/A	2.76e-184	1.22e-271	[], []
3	OR237970.1	836	1080	A.1	N/A	N/A	1-1062,1063-1080		A.1.NmC2 + A.1	>>	N/A	1062-1063	N/A	4.28e-145	1.62e-65	[], []
3	PP477075.1	836	1474	A.1	N/A	N/A	1-1417,1418-1437,1466-1474	1417-1466 -> 1437-1466	A.1 + A.1.NmC2 + A.1	>>	N/A	1417-1418, 1438-1439	N/A	4.68e+01	0.00e+00	[], []
3	PP869888.1	836	1168	A.1	N/A	N/A	1-396,1162-1168	396-1162	A.1.NmC2 + A.1	>>	N/A	567-568	N/A	2.06e-188	2.90e+06	[], []
3	PV710606.1	836	763	A.1	N/A	N/A	1-164,699-763	164-699	A.1 + A.1	>>	N/A	516-517	N/A	2.72e+00	2.72e+00	[], []
3	PV710607.1	836	883	A.1	N/A	N/A	1-509,852-883	509-852	A.1.NmC2 + A.1.NmC1	>>	N/A	849-850	N/A	2.75e-184	3.60e-263	[], []
3	PV710587.1	836	909	A.1	N/A	N/A	1-530,878-909	530-878	A.1.NmC2 + A.1.NmC1	>>	N/A	875-876	N/A	2.75e-184	1.37e-305	[], []
3	PV710596.1	836	1413	A.1	N/A	N/A	1-34,1410-1413	34-1410	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710593.1	836	1427	A.1	N/A	N/A	1-34,1424-1427	34-1424	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710595.1	836	1404	A.1	N/A	N/A	1-3,1076-1400,1401-1404	3-1401 -> 3-1076	A.1 + A.1.NmC2 + A.1	<<	N/A	302-303, 1400-1401	N/A	2.96e+14	5.16e-155	[], []
3	PV710597.1	836	1428	A.1	N/A	N/A	1-14,1100-1424,1425-1428	14-1425 -> 14-1100	A.1 + A.1.NmC2 + A.1	<<	N/A	387-388, 1424-1425	N/A	8.16e+12	4.75e-164	[], []
3	PV710599.1	836	1402	A.1	N/A	N/A	1-34,1399-1402	34-1399	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710600.1	836	1421	A.1	N/A	N/A	1-34,1418-1421	34-1418	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710602.1	836	1402	A.1	N/A	N/A	1-34,1399-1402	34-1399	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710603.1	836	1400	A.1	N/A	N/A	1-34,1397-1400	34-1397	A.1.NmC1 + A.1	>>	N/A	52-53	N/A	0.00e+00	1.16e+12	[], []
3	PV710604.1	836	1406	A.1	N/A	N/A	1-34,1403-1406	34-1403	A.1.NmC1 + A.1	>>	N/A	53-54	N/A	0.00e+00	6.73e+17	[], []
